cell	devTime	raw_annotation	pred_annotation	sub_pred_annotation	prediction_score_max	pred_psdt	proj_UMAP_1	proj_UMAP_2
E7.16.1152	E7	TE	TE	TE	0.98396155083544	14.7360198637333	8.17484951019287	1.06885206699371
E7.16.1153	E7	TE	TE	TE	0.960100642438097	15.0924918949151	7.80593538284302	1.54249477386475
E7.16.1154	E7	TE	TE	TE	0.97998077720005	15.3502171751555	7.53681755065918	2.028813123703
E7.16.1155	E7	TE	TE	TE	0.985176121070829	15.3881629979785	7.31813859939575	2.06696581840515
E7.16.1156	E7	TE	TE	TE	0.957319481125141	15.0900803303989	7.81083869934082	1.59757220745087
E7.16.1157	E7	TE	TE	TE	0.97682640971029	15.1277496844307	7.62910604476929	1.66184747219086
E7.16.1158	E7	TE	TE	TE	0.951345429696787	15.0650626703666	7.70086717605591	1.58095133304596
E7.16.1159	E7	TE	TE	TE	0.902608379917546	15.2007998878518	7.70775175094604	1.83327519893646
E7.16.1160	E7	TE	TE	TE	0.957700572359038	15.0900803303989	7.77411317825317	1.52779507637024
E7.16.1161	E7	TE	TE	TE	0.971180849101171	14.8442606400558	7.89463186264038	1.20212578773499
E7.16.1162	E7	TE	TE	TE	0.942544430054844	15.3502171751555	7.3903956413269	2.22668266296387
E7.16.1163	E7	TE	TE	TE	0.985220768003104	15.309691824031	7.28799867630005	2.05729603767395
E7.16.1164	E7	TE	TE	TE	0.963742862368476	15.0627063439416	7.37552499771118	1.28426897525787
E7.16.1165	E7	TE	TE	TE	0.973258084557608	15.4092528102151	7.23419046401978	2.24713063240051
E7.16.1166	E7	TE	TE	TE	0.94276399287538	15.7075242032649	6.90845012664795	2.54394054412842
E7.16.1167	E7	TE	TE	TE	0.983932488558879	15.7928305712657	6.68167448043823	2.770183801651
E7.16.1168	E7	TE	TE	TE	0.981599764708593	15.7818018898712	6.79488468170166	2.79028940200806
E7.16.1170	E7	TE	TE	TE	0.936237649751915	15.5250654958153	6.9909086227417	2.5232253074646
E7.17.1301	E7	TE	TE	TE	0.980931187433585	14.7671827571406	8.3114595413208	0.828346431255341
